protein	n_proteins	protein_score	n_peptides	abundance_1	abundance_2	abundance_3	abundance_4	abundance_5	abundance_6	abundance_7	abundance_8	abundance_9
sp|P35249|RFC4_HUMAN	1	0.883169196	1	0	0	0	0	0	98173504	0	0	0
sp|P35250|RFC2_HUMAN	1	0.902436821	3	0	100097800	0	0	0	0	16919030	28981790	12594870
sp|P35268|RL22_HUMAN	1	0.978876487	4	9497229	2421973888	0	50937092	1985701216	2551769200	0	0	0
sp|P35527|K1C9_HUMAN	1	1	1	331694208	65709260	323715584	377510496	0	16396350	51300180	48287712	0
sp|P35637|FUS_HUMAN	1	0.999987636	13	10425574296	8794872435	9035165230	13894203706	5954082512	6861828864	8713768184	8329103940	7333098424
sp|P35658|NU214_HUMAN	1	0.865601429	2	5258483	61362460	0	5919570	39975672	93409120	0	0	0
sp|P35659|DEK_HUMAN	1	0.899048243	2	55579112	30131290	0	84062448	21215330	23181610	0	48302840	31729960
sp|P35908|K22E_HUMAN	1	1	1	0	0	124948744	69014432	0	0	53132700	0	0
sp|P36578|RL4_HUMAN	1	0.999999423	22	0	6625286700	0	0	6950961384	6383284764	218495300	484049814	410523012
sp|P36873|PP1G_HUMAN	1	0.986187394	1	0	0	0	0	64953008	0	0	0	0
sp|P38159|RBMX_HUMAN	1	0.99751293	5	212248072	738786500	251158512	224909688	1383474620	589947924	432965576	368230922	325237948
sp|P38646|GRP75_HUMAN	1	0.996054579	7	43719044	682835984	24619980	45165968	753419576	862439070	19844460	13576080	8139816
sp|P38919|IF4A3_HUMAN	1	0.999995212	17	11454650	1720359914	9930064	52620990	3286201192	1225684641	50861630	10195270	0
sp|P39019|RS19_HUMAN	1	0.999918971	14	22294466	4772771488	36265470	59160808	5714636032	4722299144	304930461	217718593	323412688
sp|P39023|RL3_HUMAN	1	0.999994371	15	264234780	4882420845	313957988	175658608	4615058456	4372397544	448488399	377153141	367558995
sp|P40429|RL13A_HUMAN	1	0.999093168	9	27000020	2795351318	60885990	0	2096613720	2757448440	146773570	67204230	132933528
sp|P40937|RFC5_HUMAN	1	0.939054079	3	0	144644330	0	0	24937920	0	0	0	0
sp|P40938|RFC3_HUMAN	1	0.910056501	3	0	91243368	0	0	0	251219664	0	0	0
