protein	n_proteins	protein_score	n_peptides	abundance_1	abundance_2	abundance_3	abundance_4	abundance_5	abundance_6	abundance_7	abundance_8	abundance_9
sp|Q68CP9|ARID2_HUMAN	1	0.995519098	7	0	489439856	0	0	412854748	347110282	0	0	0
sp|Q68E01|INT3_HUMAN	1	0.999717828	10	27105042	342247136	0	24888320	107917207	307408142	0	0	3648582
sp|Q69YN4|VIR_HUMAN	1	0.99524199	6	0	115448154	0	0	14128110	44930695	0	0	0
sp|Q6AI39|BICRL_HUMAN	1	0.860049274	1	0	30672420	0	0	0	0	0	0	0
sp|Q6AZW8|ZN660_HUMAN	1	0.848392777	1	0	0	0	0	0	0	14936210	0	0
sp|Q6IBS0|TWF2_HUMAN	1	0.873884396	3	67778704	77105480	0	0	0	17846840	0	0	0
sp|Q6IE81|JADE1_HUMAN	1	0.99685633	8	3155899	329656577	0	3514750	200199996	260807956	61216860	0	0
sp|Q6IEG0|SNR48_HUMAN	1	0.851850516	1	0	0	0	0	52535368	0	0	0	0
sp|Q6KC79|NIPBL_HUMAN	1	0.999962922	16	72273262	366755593	15958118	5633992	172937140	353502721	24040204	0	57583895
sp|Q6NZY4|ZCHC8_HUMAN	1	0.968581396	4	0	107448732	0	0	49223700	85619910	0	0	0
sp|Q6P1J9|CDC73_HUMAN	1	0.99920998	10	5912381	771307892	13948200	11262970	4747563628	675021446	30518720	39812280	36651590
sp|Q6P2Q9|PRP8_HUMAN	1	1	86	1706422988	9728246716	401618363	380416591	9802575374	8565966290	233682703	322860012	229488855
sp|Q6P5R6|RL22L_HUMAN	1	0.855570228	1	0	82992280	0	0	88279272	77795480	0	0	0
sp|Q6P9B9|INT5_HUMAN	1	0.929128952	2	0	84885132	0	0	51929048	61366840	0	0	0
sp|Q6PD62|CTR9_HUMAN	1	0.996170847	7	6571692	85462358	6770911	10671980	191936756	193840870	21721370	0	0
sp|Q6PKG0|LARP1_HUMAN	1	0.876428103	2	0	8597483	0	0	6224180	0	0	0	0
sp|Q6STE5|SMRD3_HUMAN	1	0.92198339	1	0	0	0	0	0	0	0	0	9196993
sp|Q6UWP8|SBSN_HUMAN	1	0.940143985	3	42477840	0	145016282	72647958	0	0	0	0	0
sp|Q6UXN9|WDR82_HUMAN	1	0.962800928	5	0	213769992	0	42591520	213949132	243690888	14814230	10873280	25792910
sp|Q6ZN18|AEBP2_HUMAN	1	0.999999128	21	0	24760615823	0	0	22316738798	19720800090	8306831574	7783984831	6794958664
sp|Q6ZNJ1|NBEL2_HUMAN	1	0.883493157	2	6300371	88705000	0	0	114241400	166412096	0	0	0
sp|Q6ZRS2|SRCAP_HUMAN	1	0.941017499	2	0	0	0	0	43380552	194306896	64303408	0	62808060
sp|Q6ZRY4|RBPS2_HUMAN	1	0.965572426	3	0	123340896	0	0	97952440	192914976	0	3566002	0
sp|Q6ZVX7|FBX50_HUMAN	1	0.890312548	2	0	0	0	26376678	0	0	0	0	0
sp|Q71DI3|H32_HUMAN	1	0.973475233	1	107401836	1082039424	56339360	99248672	851981376	147989004	24195777	8741606	0
sp|Q71UM5|RS27L_HUMAN	1	0.874447293	1	0	233685504	0	0	239284304	241634896	0	0	0
sp|Q7KZ85|SPT6H_HUMAN	1	1	36	21688870	2029681876	56459380	45114304	2532133585	2861935555	178575887	111864980	111429546
sp|Q7L014|DDX46_HUMAN	1	0.997934366	8	18604140	429299496	26961234	30998890	591396620	493211620	0	0	20049800
sp|Q7L2H7|EIF3M_HUMAN	1	0.902293883	2	0	189250114	0	0	10970340	9059174	0	0	0
sp|Q7RTV0|PHF5A_HUMAN	1	0.995831221	7	121163848	1678487972	47467460	52919400	1569883994	2291267792	306421788	259747492	170009896
sp|Q7Z3K3|POGZ_HUMAN	1	0.999439775	11	0	277570977	167440304	0	390127238	270119115	46288880	39896368	9013671
sp|Q7Z4V5|HDGR2_HUMAN	1	0.956289699	4	0	303847644	24568770	30976370	215572404	237683328	0	39590610	40304370
sp|Q7Z589|EMSY_HUMAN	1	0.946713734	3	0	102605072	0	0	80831818	34770280	0	0	0
sp|Q7Z5K2|WAPL_HUMAN	1	0.877770417	2	0	45098496	0	0	0	0	0	0	0
sp|Q7Z6Z7|HUWE1_HUMAN	1	0.85088126	2	0	3010312	0	0	101067118.8	108209000	0	0	0
sp|Q86U86|PB1_HUMAN	1	0.999999999	30	0	3902950511	12641350	0	2249888590	3541832048	0	15700210	16813110
sp|Q86V81|THOC4_HUMAN	1	0.993627712	7	268445096	2242573080	191391296	796312416	631078527	1534088548	145173415	123477481	0
sp|Q86VM9|ZCH18_HUMAN	1	0.903286713	3	0	10272270	0	0	31521960	68228064	0	0	0
sp|Q86W34|AMZ2_HUMAN	1	0.937422145	1	70452480	0	61970120	92542080	58081320	0	0	0	0
sp|Q86XP3|DDX42_HUMAN	1	0.997836003	8	0	562219986	0	0	233493350	436141528	0	0	0
sp|Q86YP4|P66A_HUMAN	1	0.977796156	4	0	137631938	0	0	166493032	178811020	0	0	0
sp|Q8IWI9|MGAP_HUMAN	1	0.988856715	5	0	243872840	0	0	413044568	330336640	0	15411710	0
sp|Q8IWV8|UBR2_HUMAN	1	0.892952747	1	0	0	0	21809490	0	0	0	0	0
sp|Q8IWX8|CHERP_HUMAN	1	0.999924848	13	55487092	1754688728	0	0	2171681730	2052955864	40133712	0	0
sp|Q8IXM2|BAP18_HUMAN	1	0.902577449	2	0	278561806	0	0	195458496	330460416	0	0	0
sp|Q8IY37|DHX37_HUMAN	1	0.894416375	2	0	38158280	0	0	4718292	10947620	0	0	0
sp|Q8IY81|SPB1_HUMAN	1	0.896058567	1	0	10769540	0	0	15056956	15759760	0	0	0
sp|Q8IYB3|SRRM1_HUMAN	1	0.935796868	3	983335.1875	120085452.3	0	0	115451584	147793420	0	0	21254350
sp|Q8IZ40|RCOR2_HUMAN	1	0.996422945	7	0	159326316	0	0	199023072	266800480	0	0	0
sp|Q8IZL8|PELP1_HUMAN	1	0.988806494	6	58158490	1562656064	0	18508050	1710933312	1969628710	108184496	254629120	284307808
sp|Q8N1F7|NUP93_HUMAN	1	0.999196421	12	33865459.38	560017472	21420350	0	783544458	440262749	40042800	36748160	22026350
sp|Q8N1W2|ZN710_HUMAN	1	0.89457101	2	0	22375020	297381792	0	0	58158440	0	0	0
sp|Q8N201|INT1_HUMAN	1	0.936811541	3	0	22659500	0	1951999	38584872	18521660	0	0	0
sp|Q8N3U4|STAG2_HUMAN	1	0.848466352	1	0	28890110	0	0	0	0	0	0	0
sp|Q8N3X1|FNBP4_HUMAN	1	0.970100408	4	0	184450000	0	0	133273424	111044900	0	0	0
sp|Q8N7H5|PAF1_HUMAN	1	0.964855352	6	0	347549796	0	0	127400582	404733196	0	0	0
sp|Q8N8D1|PDCD7_HUMAN	1	0.964396344	5	21898330	65848232	0	0	86435918	377210400	0	0	0
sp|Q8N972|ZN709_HUMAN	1	0.894794323	1	0	0	0	0	57314552	0	0	0	0
sp|Q8NC51|PAIRB_HUMAN	1	0.999990799	17	0	2001807254	0	22223660	1939918540	1359795226	0	6806571	0
sp|Q8NE71|ABCF1_HUMAN	1	0.914893697	2	17136260	0	39781200	61828530	15620680	0	13792830	12019490	12784310
sp|Q8NEP9|ZN555_HUMAN	1	0.85779973	1	0	0	0	0	22801.11523	0	0	16154.41113	45015.32422
sp|Q8NFH4|NUP37_HUMAN	1	0.928014236	3	0	408260146	0	0	47509352	370561252	0	0	11595890
sp|Q8NFU7|TET1_HUMAN	1	0.953761148	3	3241999	183278400	0	0	278058800	282809088	0	0	0
sp|Q8NI27|THOC2_HUMAN	1	0.999471039	10	17746050	207025760	0	0	208559266	173397718	6815054	6520967	0
sp|Q8TAQ2|SMRC2_HUMAN	1	0.996793932	1	0	6839214	0	0	10850230	8030619	0	0	0
sp|Q8TCU6|PREX1_HUMAN	1	0.881776706	1	0	0	0	0	352224992	0	0	0	0
sp|Q8TDD1|DDX54_HUMAN	1	0.901594152	2	0	21740470	0	0	49743510	77291402	0	0	0
sp|Q8TDN6|BRX1_HUMAN	1	0.946906353	3	0	194516466	0	0	100006938	150359528	0	0	0
sp|Q8TF39|ZN483_HUMAN	1	0.922817939	2	0	11196620	0	0	282856096	39149080	0	0	0
sp|Q8WUA4|TF3C2_HUMAN	1	0.999998641	24	0	42033842946	0	0	41288508952	36567619759	0	0	0
sp|Q8WUM0|NU133_HUMAN	1	0.936130182	3	0	184689736	0	0	223671190	217259720	21594160	0	18052310
sp|Q8WUM4|PDC6I_HUMAN	1	0.851059744	1	0	215584192	0	0	231200304	188799600	0	0	0
sp|Q8WUQ7|CATIN_HUMAN	1	0.871833323	2	0	10957710	0	0	4578843	101139488	0	0	4132446
sp|Q8WUU5|GATD1_HUMAN	1	0.88870832	2	0	99270656	0	0	68593600	83539752	0	0	0
sp|Q8WVC0|LEO1_HUMAN	1	0.956859886	4	8277910	191179408	0	0	118226128	68420632	14816100	0	10060200
sp|Q8WVM7|STAG1_HUMAN	1	0.959000002	3	0	57465027	0	0	13954760	30420249	0	1431655	0
sp|Q8WWQ0|PHIP_HUMAN	1	0.879486455	2	0	16045810	0	0	28006530	36621410	0	0	0
sp|Q8WWY3|PRP31_HUMAN	1	0.996677821	8	24631650	546774804	20771090	32278240	367581938	227615736	0	10357610	0
sp|Q8WXA9|SREK1_HUMAN	1	0.862592277	2	10107790	40432240	4318910	10528090	25871160	43105328	1126981	0	0
sp|Q8WXF1|PSPC1_HUMAN	1	0.967821978	3	0	215338992	0	0	130740280	119206500	0	0	0
sp|Q8WXH0|SYNE2_HUMAN	1	0.873836316	2	0	149082400	0	0	12884650	128566400	0	0	0
sp|Q8WXI7|MUC16_HUMAN	1	0.885119443	1	0	0	0	0	485139296	0	0	533561600	0
sp|Q8WXI9|P66B_HUMAN	1	0.999863471	11	0	324155946	0	17657220	660562766	606065920	45527630	52825980	40467970
sp|Q8WYA6|CTBL1_HUMAN	1	0.951670152	4	0	72226860	0	0	101118938	86205680	0	0	0
sp|Q8WYB5|KAT6B_HUMAN	1	0.920395888	3	0	42035968	0	3889654	109713120	0	0	0	0
sp|Q8WYP5|ELYS_HUMAN	1	0.962178511	3	0	49090530	0	0	34053380	49006882	0	0	5348442
sp|Q8WZ42|TITIN_HUMAN	1	0.960265069	8	0	208945904	0	96486464	432359262	276457266	0	35071940	0
sp|Q92499|DDX1_HUMAN	1	0.918013918	2	3456798	4728488	5035429	3734234	183612304	281417504	0	0	0
sp|Q92576|PHF3_HUMAN	1	0.886450504	2	0	39561440	0	0	57468410	44672040	0	0	0
sp|Q92620|PRP16_HUMAN	1	0.944264678	3	0	11506200	0	0	10704870	16218437	0	0	0
sp|Q92621|NU205_HUMAN	1	0.999993036	14	15759360	686603948	0	8870966	455252703	308110259	11933420	0	0
sp|Q92769|HDAC2_HUMAN	1	0.999904307	6	10556020	446056638	5729791	0	488409432	493017616	7769738	0	0
sp|Q92785|REQU_HUMAN	1	0.86887853	2	0	306544528	0	0	0	0	0	0	0
sp|Q92800|EZH1_HUMAN	1	0.999999964	13	0	613516708	0	0	95747848	267129408	2251144740	1756626036	1553001371
sp|Q92804|RBP56_HUMAN	1	0.992771694	5	197719408	229153872	111541696	239723164	174478006	162312304	101650949	593183752	111023914
sp|Q92833|JARD2_HUMAN	1	1	58	0	52223039565	0	0	52130501811	51252559388	17174254989	15936869937	14491886706
sp|Q92841|DDX17_HUMAN	1	0.999999145	12	81595832	1812437498	71516496	118687944	12232971156	15055748384	89177148	130137970	53639792
sp|Q92922|SMRC1_HUMAN	1	0.999999985	21	205051776	16792645310	2897695	15551382	18756895527	17341503190	285727566	139470660	59311902
sp|Q92945|FUBP2_HUMAN	1	0.8827584	1	10493170	0	7437226	0	0	27830260	0	12810680	13084910
sp|Q93009|UBP7_HUMAN	1	0.998515508	9	0	206486553	0	0	225041778	210007083	2174803	1587985	0
sp|Q93034|CUL5_HUMAN	1	0.999999715	24	801378179	159711284	895726069	746626195	806851142	670948894	582670075	354806281	193496669
sp|Q93062|RBPMS_HUMAN	1	0.87487859	1	0	0	0	0	48556288	49886432	0	0	0
sp|Q969F1|TF3C6_HUMAN	1	0.865872227	3	0	1191095488	0	0	1469578112	1238019872	0	0	0
sp|Q969G3|SMCE1_HUMAN	1	0.994532733	7	0	674750888	0	17930870	775544062	502211436	37530740	0	23622800
sp|Q969H0|FBXW7_HUMAN	1	0.966183949	4	0	188798560	0	0	95399520	90562432	0	0	0
sp|Q969R5|LMBL2_HUMAN	1	0.938258418	4	0	153053514	0	0	185700796	29693590	0	0	0
sp|Q969X6|UTP4_HUMAN	1	0.948420523	3	0	108530640	0	0	118081680	72242240	0	0	0
sp|Q96CB8|INT12_HUMAN	1	0.863196002	2	0	33219715	0	0	0	0	0	0	0
sp|Q96DI7|SNR40_HUMAN	1	0.98861067	6	39023750	1063300328	0	30421390	1117765440	686049792	27653640	80174290	95765360
sp|Q96GM5|SMRD1_HUMAN	1	0.999989039	13	52169268	1934995994	70478930	58121702	2057893566	1178276696	204911786	154973500	116498702
sp|Q96HW7|INT4_HUMAN	1	0.989399625	6	0	55372880	0	1184551936	93200750	44996920	0	0	0
sp|Q96I24|FUBP3_HUMAN	1	0.953043215	2	0	310116200	0	85914128	0	444868384	0	0	0
sp|Q96I25|SPF45_HUMAN	1	0.998467474	9	0	216955220	0	0	359487994	174570244	0	0	0
sp|Q96JB3|HIC2_HUMAN	1	0.9718014	5	38135872	628595532	0	0	263563256	229251124	17914070	0	14640660
sp|Q96JM2|ZN462_HUMAN	1	0.999251634	12	683404096	406566848	0	0	267485524	760980384	14391570	0	16137820
sp|Q96JM3|CHAP1_HUMAN	1	0.972115267	4	0	211519912	0	11750460	285795136	244274424	7260915	27275510	15436110
sp|Q96KM6|Z512B_HUMAN	1	0.944480881	4	0	207136207	0	0	1293928032	45295750	0	0	0
sp|Q96KQ7|EHMT2_HUMAN	1	0.998242048	9	273612.5	260234608	0	0	385157864	413604998	23062160	19254060	18428010
sp|Q96KR1|ZFR_HUMAN	1	0.995896284	7	0	180575990	0	0	305325232	163068238	0	0	0
sp|Q96L73|NSD1_HUMAN	1	0.999941015	15	0	1065777731	0	0	1319754828	1342801104	60159760	46486232	61545442
sp|Q96L91|EP400_HUMAN	1	0.984718291	5	0	68009010	0	0	101559921	100170182	0	0	0
sp|Q96LT9|RNPC3_HUMAN	1	0.999134199	10	0	2120521312	0	0	1620355668	1787579312	0	4619023872	0
sp|Q96MU7|YTDC1_HUMAN	1	0.972310743	3	0	245767992	0	0	114694400	115017400	29827010	13089800	0
sp|Q96N38|ZN714_HUMAN	1	0.917896919	1	37719008	233768400	31618520	0	236637296	199222096	64612180	0	50173152
sp|Q96N64|PWP2A_HUMAN	1	0.935858044	3	5290124	225981266	0	6278586	49701880	70856270	0	0	0
sp|Q96P63|SPB12_HUMAN	1	0.952814401	4	7384773	0	19888868	19127579	0	0	0	0	0
sp|Q96PK6|RBM14_HUMAN	1	0.999986166	16	31808520	2787220632	28842410	162552752	3254895026	2486384513	46511400	28819530	31033900
sp|Q96QC0|PP1RA_HUMAN	1	0.993208536	8	3503600	121969042	0	3175479	11632330	253988328	0	0	11278670
sp|Q96QT6|PHF12_HUMAN	1	0.994147633	5	0	324221552	0	0	166596746	437644610	0	0	0
sp|Q96RE7|NACC1_HUMAN	1	0.899015108	2	0	384264384	0	0	26714030	57442000	0	0	0
sp|Q96SK3|ZN607_HUMAN	1	0.879860871	1	0	99661928	0	0	88832168	93807848	0	0	0
sp|Q96ST2|IWS1_HUMAN	1	0.98893187	6	6591773	193286133	1774140	0	134004782	30486270	0	0	0
sp|Q96ST3|SIN3A_HUMAN	1	0.999999969	26	18752086	1959177428	41831482	13566310	1959417863	5253304820	128901161	69208750	83088010
sp|Q96SW2|CRBN_HUMAN	1	0.950148861	3	90623172	0	98336708	141409818	28243510	0	0	0	0
sp|Q96SY0|INT14_HUMAN	1	0.947857805	3	0	35817080	0	0	50564917	50411488	0	0	0
sp|Q96T23|RSF1_HUMAN	1	0.999968046	17	0	1895564888	5284273	17250048	6018009554	6331670392	33634620	25287470	0
sp|Q96T88|UHRF1_HUMAN	1	0.879998883	1	0	64468008	0	0	0	56237800	0	0	0
sp|Q99459|CDC5L_HUMAN	1	0.999161438	11	9189965	887220972	0	49131608	843449506	1075626730	0	0	0
sp|Q99496|RING2_HUMAN	1	0.999698319	9	0	1016607224	0	0	380646036	477725138	186572800	187564608	203307726
sp|Q99575|POP1_HUMAN	1	0.948303508	3	2127980	59989470	0	0	69432110	46752930	0	0	0
sp|Q99666|RGPD5_HUMAN	1	0.997016796	1	0	0	0	0	89019200	0	0	0	0
sp|Q99729|ROAA_HUMAN	1	0.999852961	13	4185293816	5620569058	4186699592	2180261384	5212824699	5341546588	4316777754	3278048892	2479968918
sp|Q99996|AKAP9_HUMAN	1	0.932500603	1	0	96417208	0	0	0	0	0	0	0
sp|Q9BQ39|DDX50_HUMAN	1	0.952357476	3	0	154873266	0	0	127675766.2	124787216	0	0	0
sp|Q9BQ75|CMS1_HUMAN	1	0.850784604	1	133222704	0	0	152721104	0	0	0	0	0
sp|Q9BQG0|MBB1A_HUMAN	1	0.93332695	3	128533496	1077827680	69739424	19280370	1206375072	1138677728	111771212	18088940	15870160
sp|Q9BTC0|DIDO1_HUMAN	1	0.913878622	3	5787830	199034260	6621953	0	168516994	192483526	1467851	0	0
sp|Q9BTC8|MTA3_HUMAN	1	0.999987728	4	0	1616602282	0	0	623899114	1364222368	17946950	0	0
sp|Q9BTD8|RBM42_HUMAN	1	0.935443892	4	0	233239338	0	0	95914368	93440496	0	0	0
sp|Q9BUJ2|HNRL1_HUMAN	1	0.954635643	4	29225310	0	59494710	3158287	0	0	0	0	0
sp|Q9BUQ8|DDX23_HUMAN	1	0.999984412	18	194127350	5401275475	1699326262	22060652	5596815132	4319667023	17017980	158975274	25197200
sp|Q9BV90|SNR25_HUMAN	1	0.882378649	2	0	8992327	0	0	132334928	0	0	0	0
sp|Q9BVJ6|UT14A_HUMAN	1	0.863306711	2	0	0	0	0	16594100	3357269	0	0	0
sp|Q9BVP2|GNL3_HUMAN	1	0.851366777	2	0	149056192	14134550	24648610	313539408	31085290	0	0	0
sp|Q9BW19|KIFC1_HUMAN	1	0.861685278	1	0	10777140	0	0	0	0	0	0	0
sp|Q9BW27|NUP85_HUMAN	1	0.915146223	3	0	90482340	0	0	77728978	0	0	3352660	12326430
sp|Q9BWJ5|SF3B5_HUMAN	1	0.995189331	6	56806751	2126871344	49180843	73118518	1673211384	1639677302	48984515	40676628	36841519
sp|Q9BXA9|SALL3_HUMAN	1	0.895130713	1	0	473679200	0	0	0	0	0	0	0
sp|Q9BXF3|CECR2_HUMAN	1	0.999981971	15	21821630	1703525556	30696210	10939550	1602529596	886388780	80579332	75043712	257109988
sp|Q9BXP5|SRRT_HUMAN	1	0.996100721	9	82934544	1282275264	644687.8125	0	347777212	1374893720	21776780	7650894	0
sp|Q9BZE4|NOG1_HUMAN	1	0.999747423	12	24959120	772855920	0	11443750	1190615962	832645788	11857400	0	0
sp|Q9BZJ0|CRNL1_HUMAN	1	0.848824989	2	0	65043360	0	0	26500280	16681260	0	0	0
sp|Q9C005|DPY30_HUMAN	1	0.966281717	4	39284329	1397748722	55167337	46704048	1808035194	1292536184	8332387	16684300	66105840
sp|Q9C0D4|Z518B_HUMAN	1	0.893072885	2	0	136071564	0	0	0	0	0	0	0
sp|Q9C0J8|WDR33_HUMAN	1	0.992665485	8	0	80112608	0	0	123512172	181268196	568980962	438547308	410926549
sp|Q9GZR7|DDX24_HUMAN	1	0.911594781	2	2592801	133754656	0	0	75653878	110078476	0	0	0
sp|Q9GZS3|WDR61_HUMAN	1	0.899381355	2	6161166	63999252	2483203	6148183	142764976	6992694	0	0	0
sp|Q9H0D6|XRN2_HUMAN	1	0.962799919	5	0	169353270	2547884	0	228097176	12958625	0	0	0
sp|Q9H0H0|INT2_HUMAN	1	0.871711101	2	0	14345010	0	0	3702635	5696529	0	0	0
sp|Q9H0S4|DDX47_HUMAN	1	0.86610949	1	0	0	2906769	0	14622520	14422350	0	0	0
sp|Q9H1A4|APC1_HUMAN	1	0.947870677	3	0	110180562	0	0	82275032	14060157	0	0	0
sp|Q9H2K2|TNKS2_HUMAN	1	0.870054499	2	3181592064	0	0	0	1243767992	1041558232	3116616960	0	2370827008
sp|Q9H2P0|ADNP_HUMAN	1	0.999975786	17	0	1571533468	0	0	2300423056	1513007982	83718480	60500210	22186408
sp|Q9H307|PININ_HUMAN	1	0.998759504	10	220500608	1035721340	0	18554900	1205736832	807625216	0	64743920	150240896
sp|Q9H4L4|SENP3_HUMAN	1	0.999957239	15	0	2572311918	0	0	3454178220	1744771296	427627420	219063076	199115615
sp|Q9H583|HEAT1_HUMAN	1	0.920966965	3	0	1214489696	0	0	0	0	0	0	0
sp|Q9H6R4|NOL6_HUMAN	1	0.868466777	2	0	77894840	0	0	0	66830512	0	0	0
sp|Q9H8M2|BRD9_HUMAN	1	0.98640839	5	0	203516072	0	0	202477908	243775596	0	0	0
sp|Q9H981|ARP8_HUMAN	1	0.968602875	4	0	24293150	0	0	0	47121936	0	0	0
sp|Q9H9B1|EHMT1_HUMAN	1	0.992289586	8	0	460805234	0	0	333287062	491953280	0	0	0
sp|Q9HBE1|PATZ1_HUMAN	1	0.861754799	1	0	27885700	0	0	0	37808368	0	0	0
sp|Q9HCG8|CWC22_HUMAN	1	0.901950135	2	1152093	20016940	0	0	24419390	16023930	0	0	0
sp|Q9HCK8|CHD8_HUMAN	1	0.992678418	1	91461104	0	0	0	0	0	0	0	0
sp|Q9HCS7|SYF1_HUMAN	1	0.956364383	4	0	159239938	3355629	5344400	92932026	44656848	0	0	0
sp|Q9NP50|SHCAF_HUMAN	1	0.923261189	3	9371206	281295060	7166804	11717850	129063350	349734354	25825640	0	20354700
sp|Q9NP66|HM20A_HUMAN	1	0.997115995	9	76460322	1126368728	0	89504648	622076316	605500236	88816922	107405712	81675720
sp|Q9NPA8|ENY2_HUMAN	1	0.901697139	2	0	280365064	0	0	459721808	543481754	23933740	19815160	17194970
sp|Q9NPF5|DMAP1_HUMAN	1	0.965418132	3	0	127766980	0	0	16304970	17341400	14456720	0	15955550
sp|Q9NPI1|BRD7_HUMAN	1	0.941870687	3	0	224925606	0	0	205913720	47419674	0	0	0
sp|Q9NQ29|LUC7L_HUMAN	1	0.965030489	3	0	154331520	0	0	290141144	245233744	0	0	0
sp|Q9NQG5|RPR1B_HUMAN	1	0.931559724	3	0	155564804	0	0	45988760	84550150	0	0	6010088
sp|Q9NR30|DDX21_HUMAN	1	0.999999177	20	266689968	8716655192	211685714	116500028	11023183430	10934093024	472220812	153439754	269501344
sp|Q9NRL2|BAZ1A_HUMAN	1	0.98523482	3	20961635	48322600	4010265	24175438	42097210	87590970	0	0	0
sp|Q9NRR4|RNC_HUMAN	1	0.896115684	2	0	12643040	0	0	13424350	30030270	0	0	0
sp|Q9NRX1|PNO1_HUMAN	1	0.876074234	2	0	25892050	0	0	61747368	11776510	0	0	0
sp|Q9NRY2|SOSSC_HUMAN	1	0.859632246	2	0	8435291	0	0	82310896	0	0	0	0
sp|Q9NRZ9|HELLS_HUMAN	1	0.992892049	7	47209582	294871520	11325738	18433370	227806116	235692984	22377620	22630350	0
sp|Q9NS56|TOPRS_HUMAN	1	0.91731727	2	0	40011635	0	0	35692400	20039370	0	0	0
sp|Q9NS87|KIF15_HUMAN	1	0.871130857	2	0	293625040	0	0	206796310	289675248	0	0	0
sp|Q9NSC2|SALL1_HUMAN	1	0.996940271	6	0	429595708	0	0	258797094	362629719	0	0	0
sp|Q9NTI5|PDS5B_HUMAN	1	0.993124028	8	1933931	34944440	0	0	252288526	145044976	0	0	0
sp|Q9NU22|MDN1_HUMAN	1	0.999999975	28	23502970	2208972405	8208826	43367770	1894696132	2116398069	103511760	70149587	113037990
sp|Q9NV79|PCMD2_HUMAN	1	0.993582133	4	129712992	0	118985688	39120800	0	0	96756380	701612680	68902510
sp|Q9NV88|INT9_HUMAN	1	0.948374319	3	0	66865480	0	0	23421990	71870058	0	0	0
sp|Q9NVH2|INT7_HUMAN	1	0.919024113	2	0	0	0	755883.625	2949859	20026542	0	0	0
sp|Q9NVI7|ATD3A_HUMAN	1	0.910344384	2	2326594	52468996	2066451	3608412	46118032	0	0	0	0
sp|Q9NVP1|DDX18_HUMAN	1	0.972264489	4	0	98343089	3003064	0	73778002	78693140	0	0	0
sp|Q9NW64|RBM22_HUMAN	1	0.943815134	5	0	3474124088	0	0	72776640	46097240	12722100	0	0
sp|Q9NWB6|ARGL1_HUMAN	1	0.987690277	11	0	419190613	22549290	0	824106474	371657472	0	0	5268476
sp|Q9NWH9|SLTM_HUMAN	1	0.866054524	2	0	69540368	0	0	0	0	0	0	0
sp|Q9NX58|LYAR_HUMAN	1	0.934766008	4	0	463864000	0	0	449567448	458738592	0	0	0
sp|Q9NXE4|NSMA3_HUMAN	1	0.896152921	2	0	75018176	0	0	78952128	0	0	0	0
sp|Q9NXF1|TEX10_HUMAN	1	0.987199696	9	26815250	1199613952	27087390	31051180	1367984390	1320384596	115945721	122238230	111832430
sp|Q9NXR7|BABA2_HUMAN	1	0.869133584	2	0	28316690	0	0	23141150	17897220	0	0	0
sp|Q9NXR8|ING3_HUMAN	1	0.857139138	2	0	162453832	0	0	293315608	306725184	0	0	0
sp|Q9NYB0|TE2IP_HUMAN	1	0.985727044	5	0	1458727592	0	0	1536230264	1018751008	0	0	317169088
sp|Q9NZI6|TF2L1_HUMAN	1	0.853307889	1	0	18532740	0	0	0	0	0	0	0
sp|Q9NZI7|UBIP1_HUMAN	1	0.853809012	1	0	24215770	0	0	0	0	0	0	0
sp|Q9P258|RCC2_HUMAN	1	0.985360391	7	75875402	287200256	62685300	76150710	304784312	65515082	27811600	27698050	0
sp|Q9P2D1|CHD7_HUMAN	1	0.999356299	7	0	145929870	0	0	137487221	289555628	0	0	0
sp|Q9P2I0|CPSF2_HUMAN	1	0.999552425	10	4741081	104765372	0	6461091	262973784	339966540	338774134	225549158	196496421.1
sp|Q9P2K5|MYEF2_HUMAN	1	0.9996313	12	0	1429982148	0	0	1073936432	943923944	43164260	0	0
sp|Q9P2N6|KANL3_HUMAN	1	0.854848427	2	0	0	0	0	7649944	21537730	0	0	0
sp|Q9UBC3|DNM3B_HUMAN	1	0.989698656	3	0	45200320	0	0	56569198	16076190	0	0	0
sp|Q9UBD5|ORC3_HUMAN	1	0.924021587	3	0	37260040	0	0	33802060	50376627	618320000	0	0
sp|Q9UBL3|ASH2L_HUMAN	1	0.902285614	2	0	201728208	0	0	106919540	115564220	0	0	0
sp|Q9UBU8|MO4L1_HUMAN	1	0.965723997	3	0	97585344	0	0	272512006	146633448	0	0	0
sp|Q9UBW7|ZMYM2_HUMAN	1	0.999959759	15	0	561119668	0	0	831268097	575878874	0	0	0
sp|Q9UDW3|ZMAT5_HUMAN	1	0.938390751	2	0	27175570	0	0	59565660	0	0	0	0
sp|Q9UGU0|TCF20_HUMAN	1	0.998734545	10	0	655230344	0	0	719171028	399198752	89239206	0	19871240
sp|Q9UGU5|HMGX4_HUMAN	1	0.929180356	4	0	215297706	0	0	41093639	0	0	0	0
sp|Q9UHX1|PUF60_HUMAN	1	0.996375458	7	0	655182390	0	0	727482674	545725068	0	0	0
sp|Q9UIF9|BAZ2A_HUMAN	1	0.999298359	10	0	519145766	0	42813805	342009377	422316384	57629900	0	46621850
sp|Q9UIG0|BAZ1B_HUMAN	1	0.87341292	2	0	20776310	0	0	0	60550168	0	0	0
sp|Q9UJQ4|SALL4_HUMAN	1	0.998777955	10	14114260	1736888886	15236150	52337910	1299934340	915176996	30583180	27077780	25691060
