"ProteinID","n_proteins","protein_score","n_peptides","MDA_GD3","MDA_GD2","MDA_GD1","MDA_HG1","MDA_HG3","MDA_HG2","MDA_GD1","MDA_GD2","MDA_GD3","MDA_HG1","MDA_HG2","MDA_HG3","MDA_GD1_sim","MDA_GD2_sim","MDA_GD3_sim","MDA_HG1_sim","MDA_HG2_sim","MDA_HG3_sim"
"sp|O00244|ATOX1_HUMAN",1,1,3,67583504,35175640,141004144,216090116,285561904,275825992,18.7642998379815,17.3758643555398,18.0288744875659,19.1912060823469,19.4352807610875,19.4699693901768,19.8548792135541,19.2260905933581,18.0549249867062,19.1452916939268,19.3392744944753,19.3088531031449
"sp|O00264|PGRC1_HUMAN",1,1,14,2794730676,2612382912,4470330616,6644014074,6738179259,7430791274,22.2207282061477,21.6835286348598,21.7510015796977,22.6169821469974,22.7288981871793,22.6310555857621,21.9517998995209,22.0630103938248,22.0643391120606,22.5427764412668,22.6900374917402,22.5820262845903
"sp|O00267|SPT5H_HUMAN",1,1,15,218816298,412076816,586819640,351732964,250858178,499767054,20.190228073339,19.8367203365367,19.203743113855,19.6783828206608,20.0296526558251,19.3403983095192,19.9291199685167,20.0524967993766,19.3745182468636,19.3082423916531,19.8959779500165,19.8656216458044
"sp|O00273|DFFA_HUMAN",1,1,7,369699474,390773478,344709594,488155168,427637792,507500336,19.6582128639979,19.7836386099138,19.7282010011306,20.0061438804897,20.045007930949,19.8737871148748,19.574954586837,19.7153801050066,19.5976257391587,19.9101637049981,19.8975248538151,19.850916794545
"sp|O00299|CLIC1_HUMAN",1,1,13,4800689832,5584976040,6448204320,4097846926,3855048264,4115841472,22.5870675289936,22.4433459793957,22.2920254595342,22.1337275327224,22.1381091391133,22.0726493637277,22.5644767167914,22.4541844223151,22.3415853887196,22.1870812933323,22.1095094408269,22.1006730400164
"sp|O00303|EIF3F_HUMAN",1,1,7,334059370,590154182,251183784,326111068,272075296,237491608,19.3416954363345,20.1958943861482,19.6268292896355,19.6027485806926,19.2856428460778,19.4215894094811,19.7592756411549,19.7175002563518,19.0778119984986,19.4842305872488,19.3931961549414,19.5212859492117
"sp|O00330|ODPX_HUMAN",1,1,11,476740518,429546050,481696360,993581584,917215124,949068340,19.9928245150014,19.8782395113362,19.9824829134164,20.7168267343501,20.6709913666263,20.6368525981274,19.9642325608726,19.8838896784478,19.9631451405536,20.6385998658488,20.6844804739776,20.7024318068279
"sp|O00400|ACATN_HUMAN",1,1,4,100468692,113308550,62526830,0,31225810,22421800,17.9511063025923,18.5456251865226,18.4253567145422,NA,16.925544257845,17.2567555543921,18.6489380744865,18.5054400989278,17.8272059649807,16.8390970077214,17.0616991280969,17.1401055947922
"sp|O00401|WASL_HUMAN",1,0.998754827,3,7821943,49089790,0,37349760,40476720,38841672,NA,17.7091616281681,15.8724435471322,17.4358370438196,17.4750042488646,17.5162375519926,14.9778002939389,16.9281277327868,17.6824456258287,17.4801914439098,17.455782277605,17.4420749418697
"sp|O00410|IPO5_HUMAN",1,1,23,994560694,1502398325,1569469407,1053111389,1067510131,1024902296,21.1740034418613,21.1303285515348,20.7178116840592,20.7750148470298,20.7478631240178,20.7885947934201,20.6682398257224,20.7724975608062,20.7536843846118,20.7533239726914,20.7924388967227,20.7526634860893
